geohash_id	consumption_level	activity_level	date_id
4885e281g	68.95837	60.952396	20230404
4885e281g	68.69171	62.21927	20230405
4885e281g	69.21973	62.883705	20230406
4885e281g	68.691956	63.26523	20230407
5324516fr	61.710728	49.52724	20230404
5324516fr	64.88861	50.250492	20230405
5324516fr	63.178734	50.56921	20230406
5324516fr	62.28299	52.614838	20230407
7941bac5t	63.436787	49.943287	20230404
7941bac5t	66.00613	51.0364	20230405
7941bac5t	65.67278	51.81739	20230406
7941bac5t	65.05215	54.594437	20230407
94bf2e47u	63.298626	49.74058	20230404
94bf2e47u	65.48977	53.355785	20230405
94bf2e47u	64.63742	52.988384	20230406
94bf2e47u	61.829315	51.557858	20230407
651310f3v	66.48231	58.55668	20230404
651310f3v	67.19905	59.79669	20230405
651310f3v	69.31626	61.224136	20230406
651310f3v	67.49083	61.004032	20230407
5da786a8w	59.373222	36.82952	20230404
5da786a8w	54.364777	37.39066	20230405
5da786a8w	59.142216	45.185764	20230406
5da786a8w	56.331623	40.762127	20230407
9292842fy	58.3315	35.64456	20230404
9292842fy	78.01775	40.42815	20230405
9292842fy	58.594955	43.15641	20230406
9292842fy	77.95523	36.160824	20230407
abb13720z	66.64867	54.098766	20230404
abb13720z	72.324814	56.083237	20230405
abb13720z	64.66503	57.570614	20230406
abb13720z	66.39598	56.11686	20230407
babadee5r	68.88478	63.841515	20230404
babadee5r	69.51707	67.18115	20230405
babadee5r	69.18016	66.23253	20230406
babadee5r	70.17154	67.69203	20230407
c2382486x	70.05904	62.78401	20230404
c2382486x	70.42332	64.45461	20230405
c2382486x	69.19073	64.83769	20230406
c2382486x	70.12184	65.711784	20230407
6b9789f2z	64.853966	53.155872	20230404
6b9789f2z	68.51486	55.470352	20230405
6b9789f2z	66.27659	55.509663	20230406
6b9789f2z	68.167564	54.68397	20230407
b5dbab8e1	72.41528	70.93094	20230404
b5dbab8e1	73.51303	72.35765	20230405
b5dbab8e1	73.17165	73.13956	20230406
b5dbab8e1	72.71081	74.294075	20230407
dc36a53e3	67.83564	57.13351	20230404
dc36a53e3	67.50859	58.244366	20230405
dc36a53e3	67.97603	57.81294	20230406
dc36a53e3	68.45138	59.951714	20230407
66c0fb934	70.00828	66.959816	20230404
66c0fb934	71.552956	68.06245	20230405
66c0fb934	72.19134	68.48876	20230406
66c0fb934	70.69475	70.261955	20230407
b72036c45	68.17882	60.503746	20230404
b72036c45	71.753975	61.47103	20230405
b72036c45	69.921684	62.705208	20230406
